Manufacturer,"BAC, Aerospatiale",AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Manufacturer,"BAC, Aerospatiale",AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Type,Concorde,A300-,A310-,A319-,A320-,A321-,A321-,A330-,A330-,A330-,A340-,A340-,A340-,A340-,A350-,A350-,A380-,717-,727-,737-,737-,737-,737-,737-,737-,737-,747-,747-,747-,757-,757-,767-,767-,767-,767-,777-,777-,787-,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.,/DOUG.,,,/DOUG.,,,,,,,,,,
Model,,600R,300,100,200,200,NEO,200,300,900NEO,200,300,500,600,900,1000,800,200,200Adv,200,300,400,500,600,700,800,100,200,400,200,300,200,200ER,300,300ER,200,300ER,900,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87,MD-90-30,DC10-10,DC10-30,MD-11,L1011-100,Il-96M,Tu-134,Tu-154M,RJ70,RJ85,RJ100,RJ115,F70,F100
Initial service date,1969,1974,1983,1995,1988,1993,2016,1998,1994,2017,1993,1994,2002,2002,2013,2018,2005,1999,1970,1967,1967,1967,1967,1998,1997,1998,1969,1972,1988,1982,1999,1982,1982,1982,1982,1995,2004,2009,1965,1967,1968,1975,1980,1980,1980,1980,1995,1971,1973,1990,1973,1996,,1972,1982,1982,1982,1982,1988,1988
Static thrust (kN),169.3,257,231,99.7,111.2,142,147,310,300,324,139,151,235.8,249.1,374.5,431,294,97.9,71.2,71.2,89,97.9,82.3,82,89,107,208.8,236,252.4,191.3,192,213.5,257.6,223.5,273.6,342.52,513,320,54.5,62,68.9,68.9,85.6,92.7,96.5,92.7,111.21,178,236,274,187,164.6,66.7,104,27.27,31.14,31.14,31.14,61.6,61.6
Max. seats (single class),128,375,280,153,179,220,244,380,440,460,440,440,440,475,440,480,850,110,189,130,149,170,130,132,149,189,516,516,660,239,289,255,255,290,290,440,396,406,90,119,125,139,172,172,172,130,182,380,380,405,400,375,84,180,94,112,112,128,79,119
Two class seating,110,266,218,124,150,186,206,293,335,280,303,335,350,440,315,369,575,106,136,115,128,146,108,108,128,160,442,442,496,186,239,216,216,261,261,304,396,290,68,97,105,122,155,155,155,114,153,277,277,323,304,335,68,154,70,85,100,115,70,107
Max. take-off weight (kg),185000,170500,150000,64000,73500,89000,97000,230000,217000,251000,257000,271000,365000,365000,283000,322000,575000,51710,95028,52390,56470,62820,52390,65090,69400,78220,340195,377840,396830,115900,122470,136078,175540,156489,181437,242670,299370,254000,35245,49000,51710,54420,63500,67812,72580,63500,70760,190854,263636,283720,211374,270000,47000,100000,40823,42184,44225,46040,36740,43090
Max. Payload (kg),13380,41100,33300,17390,19190,22780,25500,36400,48400,46000,49400,48150,51635,63000,53000,67000,84000,12220,18597,15445,16030,17740,15530,9800,11610,14690,69625,62820,61186,25690,29470,34065,35652,39140,45541,54635,68570,53000,9570,14000,15510,15265,17953,18802,18721,17619,17350,48330,48330,55566,33355,58000,8200,18000,9072,11749,12429,11265,9302,11108
Max. payload/Max. T/O ratio,0.0723,0.24105571847507332,0.222,0.27171875,0.26108843537414966,0.25595505617977526,0.26,0.1582608695652174,0.22304147465437787,0.183,0.19221789883268484,0.17767527675276754,0.14146575342465753,0.1726027397260274,0.187,0.2,0.1574074074074074,0.23631792690001935,0.1957002146735699,0.2948081694979958,0.283867540286878,0.28239414199299584,0.2964306165298721,0.15056076202181595,0.16729106628242074,0.18780363078496548,0.2046620320698423,0.16626085115392758,0.1541869314315954,0.22165660051768765,0.24063035845513187,0.2503343670541895,0.20309900877292925,0.2501134265028213,0.25100172511670715,0.22514113817117898,0.2,0.2,0.27152787629450986,0.2857142857142857,0.29994198414233225,0.2805034913634693,0.2827244094488189,0.2772665604907686,0.2579360705428493,0.27746456692913385,0.24519502543810062,0.253230217862869,0.18332094251164485,0.19584801917383335,0.15780086481781108,0.21481481481481482,0.17446808510638298,0.18,0.22222766577664552,0.27851792148681964,0.28104013566986996,0.24467854039965248,0.2531845400108873,0.2577860292411232
