Manufacturer,AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Manufacturer,AIRBUS,AIRBUS.1,AIRBUS.2,AIRBUS.3,AIRBUS.4,AIRBUS.5,AIRBUS.6,AIRBUS.7,AIRBUS.8,AIRBUS.9,AIRBUS.10,AIRBUS.11,AIRBUS.12,AIRBUS.13,AIRBUS.14,AIRBUS.15,BOEING,BOEING.1,BOEING.2,BOEING.3,BOEING.4,BOEING.5,BOEING.6,BOEING.7,BOEING.8,BOEING.9,BOEING.10,BOEING.11,BOEING.12,BOEING.13,BOEING.14,BOEING.15,BOEING.16,BOEING.17,BOEING.18,BOEING.19,BOEING.20,DOUG.,DOUG..1,DOUG..2,DOUG..3,McDON.,McDON..1,McDON..2,McDON..3,McDON..4,DOUG..4,DOUG..5,McDON..5,LOCKHD,ILYUSHIN,TUPOLEV,TUPOLEV.1,BAe,BAe.1,BAe.2,BAe.3,FOKKER,FOKKER.1
Type,A300-,A310-,A319-,A320-,A321-,A321-,A330-,A330-,A330-,A340-,A340-,A340-,A340-,A350-,A350-,A380-,717-,727-,737-,737-,737-,737-,737-,737-,737-,747-,747-,747-,757-,757-,767-,767-,767-,767-,777-,777-,787-,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.,/DOUG.,,,/DOUG.,,,,,,,,,,
Model,600R,300,100,200,200,NEO,200,300,900NEO,200,300,500,600,900,1000,800,200,200Adv,200,300,400,500,600,700,800,100,200,400,200,300,200,200ER,300,300ER,200,300ER,900,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87,MD-90-30,DC10-10,DC10-30,MD-11,L1011-100,Il-96M,Tu-134,Tu-154M,RJ70,RJ85,RJ100,RJ115,F70,F100
Initial service date,1974,1983,1995,1988,1993,2016,1998,1994,2017,1993,1994,2002,2002,2013,2018,2005,1999,1970,1967,1967,1967,1967,1998,1997,1998,1969,1972,1988,1982,1999,1982,1982,1982,1982,1995,2004,2009,1965,1967,1968,1975,1980,1980,1980,1980,1995,1971,1973,1990,1973,1996,,1972,1982,1982,1982,1982,1988,1988
Static thrust (kN),257.0,231.0,99.7,111.2,142.0,147.0,310.0,300.0,324.0,139.0,151.0,235.8,249.1,374.5,431.0,294.0,97.9,71.2,71.2,89.0,97.9,82.3,82.0,89.0,107.0,208.8,236.0,252.4,191.3,192.0,213.5,257.6,223.5,273.6,342.5,513.0,320.0,54.5,62,68.9,68.9,85.6,92.7,96.5,92.7,111.2,178.0,236.0,274.0,187,164.6,66.7,104.0,27.3,31.1,31.1,31.1,61.6,61.6
Max. seats (single class),375,280,153,179,220,244,380,440,460,440,440,440,475,440,480,850,110,189,130,149,170,130,132,149,189,516,516,660,239,289,255,255,290,290,440,396,406,90,119,125,139,172,172,172,130,182,380,380,405,400,375,84,180,94,112,112,128,79,119
Two class seating,266,218,124,150,186,206,293,335,280,303,335,350,440,315,369,575,106,136,115,128,146,108,108,128,160,442,442,496,186,239,216,216,261,261,304,396,290,68,97,105,122,155,155,155,114,153,277,277,323,304,335,68,154,70,85,100,115,70,107
Max. take-off weight (ton),170.5,150,64,73.5,89,97,230,217,251,257,271,365,365,283,322,575,51.71,95.028,52.39,56.47,62.82,52.39,65.09,69.4,78.22,340.195,377.84,396.83,115.9,122.47,136.078,175.54,156.489,181.437,242.67,299.37,254,35.245,49,51.71,54.42,63.5,67.812,72.58,63.5,70.76,190.854,263.636,283.72,211.374,270,47,100,40.823,42.184,44.225,46.04,36.74,43.09
Max. Payload (kg),41100,33300,17390,19190,22780,25500,36400,48400,46000,49400,48150,51635,63000,53000,67000,84000,12220,18597,15445,16030,17740,15530,9800,11610,14690,69625,62820,61186,25690,29470,34065,35652,39140,45541,54635,68570,53000,9570,14000,15510,15265,17953,18802,18721,17619,17350,48330,48330,55566,33355,58000,8200,18000,9072,11749,12429,11265,9302,11108
Max. payload/Max. T/O ratio,0.241,0.222,0.272,0.261,0.256,0.26,0.158,0.223,0.183,0.192,0.178,0.141,0.173,0.187,0.2,0.157,0.236,0.196,0.295,0.284,0.282,0.296,0.151,0.167,0.188,0.205,0.166,0.154,0.222,0.241,0.250,0.203,0.250,0.251,0.225,0.200,0.2,0.272,0.286,0.300,0.281,0.283,0.277,0.258,0.277,0.245,0.253,0.183,0.196,0.158,0.215,0.174,0.180,0.222,0.279,0.281,0.245,0.253,0.258
Wing Area (m²),260.00,219.00,122.40,122.40,122.40,128.00,363.10,363.10,372.00,363.10,363.10,437.30,437.30,442.00,464.00,845.00,92.97,157.90,91.04,91.04,91.04,91.04,124.60,124.60,124.60,511.00,511.00,525.00,185.25,185.25,283.30,283.30,283.30,283.30,427.80,436.00,377.00,86.77,92.97,92.97,92.97,112.30,112.30,112.30,112.30,112.30,367.70,367.70,338.90,321.50,391.60,127.30,201.45,77.30,77.30,77.30,77.30,93.50,93.50
Wing Span (m),44.84,43.89,33.91,33.91,33.91,35.8,58.00,58.00,64.00,58.00,58.00,61.20,61.20,65.00,65.00,79.80,28.40,32.92,28.35,28.90,28.90,28.90,34.30,34.30,34.30,59.64,59.64,62.30,38.05,38.05,47.57,47.57,47.57,47.57,60.90,64.00,60,27.25,28.47,28.47,28.47,32.87,32.87,32.87,32.87,32.87,50.40,50.40,51.77,47.35,55.57,29.00,37.55,26.21,26.21,26.21,26.21,28.08,28.08
